id,name,attendance,midterm,assignment,logins,study_hours
STU-1212,Student 213,67,57,65,13,4
STU-1213,Student 214,83,54,59,10,7
STU-1214,Student 215,83,68,47,14,13
STU-1215,Student 216,59,88,31,18,5
STU-1216,Student 217,69,81,78,19,14
STU-1217,Student 218,50,79,33,22,5
STU-1218,Student 219,97,69,36,9,14
STU-1219,Student 220,94,97,68,25,9
STU-1220,Student 221,67,94,42,7,9
STU-1221,Student 222,64,28,60,28,13
STU-1222,Student 223,78,53,92,3,9
STU-1223,Student 224,72,95,85,20,12
STU-1224,Student 225,40,54,71,6,6
STU-1225,Student 226,96,20,90,27,6
STU-1226,Student 227,66,59,71,21,5
STU-1227,Student 228,96,83,85,2,9
STU-1228,Student 229,91,41,65,29,10
STU-1229,Student 230,52,79,97,6,8
STU-1230,Student 231,80,83,36,3,7
STU-1231,Student 232,42,91,83,16,7
STU-1232,Student 233,78,30,30,8,6
STU-1233,Student 234,45,33,73,2,5
STU-1234,Student 235,47,79,74,17,13
STU-1235,Student 236,66,49,76,9,4
STU-1236,Student 237,48,54,42,12,3
STU-1237,Student 238,76,56,51,3,3
STU-1238,Student 239,72,24,50,11,6
STU-1239,Student 240,90,97,38,1,4
STU-1240,Student 241,81,45,55,23,12
STU-1241,Student 242,83,81,38,13,12
STU-1242,Student 243,63,23,44,15,6
STU-1243,Student 244,54,61,39,26,3
STU-1244,Student 245,98,37,71,5,4
STU-1245,Student 246,93,59,53,21,9
STU-1246,Student 247,71,91,78,17,5
STU-1247,Student 248,71,58,55,25,13
STU-1248,Student 249,63,33,66,23,7
STU-1249,Student 250,80,51,97,24,10
STU-1250,Student 251,91,70,79,25,2
STU-1251,Student 252,88,57,53,6,14
STU-1252,Student 253,88,42,48,28,14
STU-1253,Student 254,97,82,89,21,5
STU-1254,Student 255,91,34,68,22,9
STU-1255,Student 256,51,44,47,11,11
STU-1256,Student 257,78,36,48,18,3
STU-1257,Student 258,41,85,65,4,14
STU-1258,Student 259,42,97,84,3,9
STU-1259,Student 260,88,72,98,13,14
STU-1260,Student 261,76,70,76,23,11
STU-1261,Student 262,88,58,78,9,6
STU-1262,Student 263,95,70,62,21,4
STU-1263,Student 264,56,89,50,6,7
STU-1264,Student 265,98,25,51,26,8
STU-1265,Student 266,88,86,77,28,6
STU-1266,Student 267,41,26,66,12,5
STU-1267,Student 268,41,70,44,2,6
STU-1268,Student 269,67,91,64,3,5
STU-1269,Student 270,93,61,61,3,8
STU-1270,Student 271,62,83,40,28,1
STU-1271,Student 272,76,34,39,12,11
STU-1272,Student 273,71,48,86,15,7
STU-1273,Student 274,72,52,54,9,10
STU-1274,Student 275,40,46,31,23,10
STU-1275,Student 276,58,55,93,8,11
STU-1276,Student 277,41,48,64,11,2
STU-1277,Student 278,92,57,36,16,14
STU-1278,Student 279,83,76,47,26,9
STU-1279,Student 280,65,46,96,27,1
STU-1280,Student 281,71,74,71,25,11
STU-1281,Student 282,45,52,68,22,10
STU-1282,Student 283,71,87,70,4,6
STU-1283,Student 284,94,85,53,28,9
STU-1284,Student 285,43,29,89,1,1
STU-1285,Student 286,94,24,75,24,4
STU-1286,Student 287,50,93,48,7,4
STU-1287,Student 288,95,57,97,2,9
STU-1288,Student 289,98,32,71,24,11
STU-1289,Student 290,56,50,61,28,5
STU-1290,Student 291,77,66,68,5,5
STU-1291,Student 292,63,71,65,7,6
STU-1292,Student 293,44,75,65,4,1
STU-1293,Student 294,91,34,32,5,1
STU-1294,Student 295,73,48,37,24,9
STU-1295,Student 296,45,27,99,1,3
STU-1296,Student 297,61,24,70,1,4
STU-1297,Student 298,50,48,97,15,1
STU-1298,Student 299,87,66,42,20,9
STU-1299,Student 300,55,87,78,19,8
STU-1300,Student 301,72,95,89,29,2
STU-1301,Student 302,48,64,31,10,8
STU-1302,Student 303,99,21,89,28,7
STU-1303,Student 304,98,46,34,18,11
STU-1304,Student 305,45,55,73,28,6
STU-1305,Student 306,55,55,56,3,1
STU-1306,Student 307,68,45,61,11,7
STU-1307,Student 308,42,62,50,15,10
STU-1308,Student 309,59,46,37,27,7
STU-1309,Student 310,99,88,79,11,13
STU-1310,Student 311,98,39,96,17,14
STU-1311,Student 312,75,30,73,17,9
STU-1312,Student 313,58,93,87,6,1
STU-1313,Student 314,65,57,32,5,2
STU-1314,Student 315,42,25,99,8,11
STU-1315,Student 316,58,91,31,2,9
STU-1316,Student 317,59,42,73,16,13
STU-1317,Student 318,71,66,31,20,9
STU-1318,Student 319,46,65,64,24,13
STU-1319,Student 320,91,31,59,12,6
STU-1320,Student 321,80,32,37,6,6
STU-1321,Student 322,72,81,51,1,4
STU-1322,Student 323,79,79,73,4,4
STU-1323,Student 324,78,62,87,17,5
STU-1324,Student 325,57,95,65,13,3
STU-1325,Student 326,79,87,98,18,1
STU-1326,Student 327,40,24,60,5,1
STU-1327,Student 328,50,56,76,24,12
STU-1328,Student 329,67,91,84,24,13
STU-1329,Student 330,96,50,91,27,7
STU-1330,Student 331,64,28,59,3,1
STU-1331,Student 332,89,70,84,11,1
STU-1332,Student 333,62,48,45,13,3
STU-1333,Student 334,70,97,41,4,10
STU-1334,Student 335,69,59,46,26,4
STU-1335,Student 336,81,60,45,27,4
STU-1336,Student 337,74,30,41,14,2
STU-1337,Student 338,46,42,37,22,1
STU-1338,Student 339,99,20,32,11,3
STU-1339,Student 340,55,65,45,27,11
STU-1340,Student 341,65,40,59,10,4
STU-1341,Student 342,87,55,52,19,3
STU-1342,Student 343,96,73,34,18,8
STU-1343,Student 344,91,76,94,6,14
STU-1344,Student 345,99,20,59,27,10
STU-1345,Student 346,88,82,50,29,1
STU-1346,Student 347,41,73,99,15,14
STU-1347,Student 348,40,74,51,21,2
STU-1348,Student 349,87,59,61,10,13
STU-1349,Student 350,51,34,62,5,7
STU-1350,Student 351,44,40,45,26,4
STU-1351,Student 352,76,66,67,29,8
STU-1352,Student 353,71,92,43,5,11
STU-1353,Student 354,98,72,65,10,13
STU-1354,Student 355,94,28,52,28,3
STU-1355,Student 356,48,93,95,5,6
STU-1356,Student 357,80,71,31,3,9
STU-1357,Student 358,74,76,94,23,1
STU-1358,Student 359,58,45,96,6,1
STU-1359,Student 360,87,60,81,4,8
STU-1360,Student 361,55,54,91,18,3
STU-1361,Student 362,42,82,52,28,5
STU-1362,Student 363,59,44,55,9,1
STU-1363,Student 364,63,94,97,17,5
STU-1364,Student 365,93,57,84,29,11
STU-1365,Student 366,95,21,35,13,6
STU-1366,Student 367,72,26,64,27,8
STU-1367,Student 368,63,53,51,15,13
STU-1368,Student 369,91,36,72,20,14
STU-1369,Student 370,50,62,44,17,3
STU-1370,Student 371,88,78,89,13,3
STU-1371,Student 372,47,70,41,16,12
STU-1372,Student 373,75,73,78,22,11
STU-1373,Student 374,77,43,71,4,11
STU-1374,Student 375,79,44,67,5,10
STU-1375,Student 376,59,90,74,5,9
STU-1376,Student 377,74,71,64,9,4
STU-1377,Student 378,87,89,59,17,4
STU-1378,Student 379,64,52,59,13,12
STU-1379,Student 380,74,68,35,2,7
STU-1380,Student 381,64,48,96,13,2
STU-1381,Student 382,68,82,36,22,8
STU-1382,Student 383,57,41,81,21,6
STU-1383,Student 384,85,45,43,27,3
STU-1384,Student 385,57,47,44,23,9
STU-1385,Student 386,41,68,50,19,5
STU-1386,Student 387,93,90,64,3,8
STU-1387,Student 388,74,68,95,10,7
STU-1388,Student 389,55,39,31,2,14
STU-1389,Student 390,80,82,64,13,8
STU-1390,Student 391,75,80,49,19,7
STU-1391,Student 392,72,68,39,26,3
STU-1392,Student 393,43,90,54,17,2
STU-1393,Student 394,72,20,95,21,7
STU-1394,Student 395,53,32,54,14,3
STU-1395,Student 396,60,70,83,12,3
STU-1396,Student 397,87,75,62,21,2
STU-1397,Student 398,59,81,65,12,4
STU-1398,Student 399,95,51,43,11,8
STU-1399,Student 400,47,49,94,7,12
STU-1400,Student 401,46,48,83,4,1
STU-1401,Student 402,42,68,81,19,1
STU-1402,Student 403,56,64,32,1,12
STU-1403,Student 404,72,49,70,28,14
STU-1404,Student 405,87,35,35,24,5
STU-1405,Student 406,51,59,54,29,11
STU-1406,Student 407,98,38,42,3,5
STU-1407,Student 408,90,37,37,13,11
STU-1408,Student 409,61,20,50,15,12
STU-1409,Student 410,94,97,97,2,1
STU-1410,Student 411,61,66,54,11,6
STU-1411,Student 412,85,85,97,4,1
STU-1412,Student 413,69,57,74,19,5
STU-1413,Student 414,77,70,89,29,9
STU-1414,Student 415,77,82,41,17,12
STU-1415,Student 416,84,23,61,3,14
STU-1416,Student 417,90,20,42,28,5
STU-1417,Student 418,93,27,60,18,6
STU-1418,Student 419,47,48,49,8,8
STU-1419,Student 420,66,74,47,22,11
STU-1420,Student 421,66,22,89,25,1
STU-1421,Student 422,73,51,92,24,14
STU-1422,Student 423,60,29,35,26,2
STU-1423,Student 424,69,93,61,19,9
STU-1424,Student 425,72,53,72,5,3
STU-1425,Student 426,67,74,31,7,6
STU-1426,Student 427,86,51,89,21,5
STU-1427,Student 428,72,69,52,8,11
STU-1428,Student 429,44,26,60,28,2
STU-1429,Student 430,99,27,34,5,14
STU-1430,Student 431,87,84,63,17,7
STU-1431,Student 432,58,76,39,5,4
STU-1432,Student 433,43,86,31,4,1
STU-1433,Student 434,74,78,40,22,13
STU-1434,Student 435,88,91,79,19,4
STU-1435,Student 436,56,73,60,27,6
STU-1436,Student 437,83,86,85,21,7
STU-1437,Student 438,67,70,38,2,7
STU-1438,Student 439,69,27,50,11,14
STU-1439,Student 440,68,53,57,22,7
STU-1440,Student 441,85,54,91,13,3
STU-1441,Student 442,92,97,36,15,6
STU-1442,Student 443,45,51,45,12,13
STU-1443,Student 444,74,65,33,22,8
STU-1444,Student 445,99,35,33,21,4
STU-1445,Student 446,80,87,69,22,13
STU-1446,Student 447,76,56,46,11,8
STU-1447,Student 448,63,73,81,7,2
STU-1448,Student 449,68,33,81,28,10
STU-1449,Student 450,88,74,65,5,9
STU-1450,Student 451,85,67,67,17,9
STU-1451,Student 452,92,26,79,24,8
STU-1452,Student 453,70,93,92,20,10
STU-1453,Student 454,74,26,92,9,14
STU-1454,Student 455,99,52,91,14,13
STU-1455,Student 456,72,42,36,26,10
STU-1456,Student 457,91,38,56,12,1
STU-1457,Student 458,60,38,43,6,2
STU-1458,Student 459,71,55,34,17,6
STU-1459,Student 460,62,48,84,19,10
STU-1460,Student 461,72,79,31,19,5
STU-1461,Student 462,42,21,91,26,12
STU-1462,Student 463,57,20,50,16,14
STU-1463,Student 464,64,66,50,12,9
STU-1464,Student 465,81,88,39,12,5
STU-1465,Student 466,70,39,87,20,2
STU-1466,Student 467,93,30,68,6,10
STU-1467,Student 468,97,21,34,23,4
STU-1468,Student 469,42,86,94,26,9
STU-1469,Student 470,79,31,42,4,1
STU-1470,Student 471,85,39,82,6,11
STU-1471,Student 472,63,24,74,11,1
STU-1472,Student 473,89,56,61,1,12
STU-1473,Student 474,71,57,65,24,7
STU-1474,Student 475,86,28,89,23,11
STU-1475,Student 476,61,72,40,15,3
STU-1476,Student 477,62,63,92,27,10
STU-1477,Student 478,41,43,50,11,2
STU-1478,Student 479,66,93,81,25,9
STU-1479,Student 480,81,49,84,19,3
STU-1480,Student 481,41,78,55,18,2
STU-1481,Student 482,65,33,97,17,12
STU-1482,Student 483,56,28,63,19,8
STU-1483,Student 484,79,59,81,21,10
STU-1484,Student 485,72,85,81,14,6
STU-1485,Student 486,48,44,58,27,6
STU-1486,Student 487,82,92,67,18,10
STU-1487,Student 488,93,41,71,28,11
STU-1488,Student 489,87,23,50,19,7
STU-1489,Student 490,78,45,71,15,7
STU-1490,Student 491,68,77,42,15,11
STU-1491,Student 492,81,48,93,4,13
STU-1492,Student 493,94,56,46,7,6
STU-1493,Student 494,65,94,38,13,4
STU-1494,Student 495,74,89,70,3,11
STU-1495,Student 496,89,37,30,16,9
STU-1496,Student 497,64,61,31,9,6
STU-1497,Student 498,63,60,89,8,4
STU-1498,Student 499,52,57,77,20,12
STU-1499,Student 500,99,53,58,13,3
STU-1500,Student 501,97,36,39,17,4
STU-1501,Student 502,46,56,87,17,3
STU-1502,Student 503,96,44,89,17,2
STU-1503,Student 504,75,95,50,1,14
STU-1504,Student 505,84,46,57,8,5
STU-1505,Student 506,59,76,63,19,2
STU-1506,Student 507,40,50,37,6,6
STU-1507,Student 508,47,25,88,3,3
STU-1508,Student 509,85,59,78,27,6
STU-1509,Student 510,55,31,46,5,11
STU-1510,Student 511,53,72,89,13,10
STU-1511,Student 512,51,90,74,15,9
STU-1512,Student 513,90,29,98,14,1
STU-1513,Student 514,62,64,61,29,6
STU-1514,Student 515,54,36,73,23,9
STU-1515,Student 516,67,45,94,16,11
STU-1516,Student 517,73,81,37,18,4
STU-1517,Student 518,41,65,72,22,11
STU-1518,Student 519,71,83,30,29,12
STU-1519,Student 520,62,21,80,22,2
STU-1520,Student 521,61,73,53,11,13
STU-1521,Student 522,90,84,53,3,4
STU-1522,Student 523,64,70,46,22,1
STU-1523,Student 524,97,72,34,10,3
STU-1524,Student 525,61,55,49,10,10
STU-1525,Student 526,97,45,50,21,9
STU-1526,Student 527,97,48,87,16,10
STU-1527,Student 528,61,40,60,12,5
STU-1528,Student 529,88,30,40,2,11
STU-1529,Student 530,91,59,81,9,6
STU-1530,Student 531,81,30,44,24,3
STU-1531,Student 532,45,55,36,3,5
STU-1532,Student 533,54,78,57,24,11
STU-1533,Student 534,93,58,80,25,8
STU-1534,Student 535,82,73,87,15,6
STU-1535,Student 536,99,74,34,3,4
STU-1536,Student 537,76,43,34,19,2
STU-1537,Student 538,72,41,37,18,14
STU-1538,Student 539,47,88,93,8,9
STU-1539,Student 540,92,75,39,26,13
STU-1540,Student 541,99,52,67,17,12
STU-1541,Student 542,83,55,37,8,1
STU-1542,Student 543,83,39,54,7,1
STU-1543,Student 544,44,81,95,7,13
STU-1544,Student 545,78,92,79,3,4
STU-1545,Student 546,43,45,96,1,7
STU-1546,Student 547,45,85,78,4,1
STU-1547,Student 548,84,92,65,25,9
STU-1548,Student 549,71,92,97,5,4
STU-1549,Student 550,91,59,70,1,3
STU-1550,Student 551,69,36,91,15,1
STU-1551,Student 552,86,20,39,5,10
STU-1552,Student 553,74,80,50,13,4
STU-1553,Student 554,94,62,65,8,9
STU-1554,Student 555,79,61,41,8,13
STU-1555,Student 556,91,44,31,5,14
STU-1556,Student 557,55,58,42,28,10
STU-1557,Student 558,52,54,82,9,6
STU-1558,Student 559,89,22,61,1,6
STU-1559,Student 560,99,63,45,4,1
STU-1560,Student 561,81,70,61,3,10
STU-1561,Student 562,69,31,61,2,2
STU-1562,Student 563,58,38,40,8,11
STU-1563,Student 564,56,63,39,23,6
STU-1564,Student 565,95,78,44,9,2
STU-1565,Student 566,58,68,46,2,3
STU-1566,Student 567,67,80,69,14,4
STU-1567,Student 568,97,36,47,14,11
STU-1568,Student 569,94,93,84,4,5
STU-1569,Student 570,65,76,54,6,9
STU-1570,Student 571,76,74,88,11,12
STU-1571,Student 572,65,66,51,3,4
STU-1572,Student 573,92,31,59,8,13
STU-1573,Student 574,62,81,73,3,11
STU-1574,Student 575,48,99,61,14,9
STU-1575,Student 576,51,27,80,28,11
STU-1576,Student 577,92,40,75,13,10
STU-1577,Student 578,40,99,50,13,3
STU-1578,Student 579,97,89,61,2,8
STU-1579,Student 580,97,91,68,13,12
STU-1580,Student 581,40,44,41,29,1
STU-1581,Student 582,86,31,76,19,11
STU-1582,Student 583,73,34,47,27,9
STU-1583,Student 584,71,78,50,6,9
STU-1584,Student 585,93,45,42,16,10
STU-1585,Student 586,87,45,50,2,2
STU-1586,Student 587,64,66,37,8,4
STU-1587,Student 588,79,51,75,17,13
STU-1588,Student 589,84,29,36,23,8
STU-1589,Student 590,92,35,52,2,7
STU-1590,Student 591,40,90,51,10,1
STU-1591,Student 592,55,36,51,28,5
STU-1592,Student 593,78,42,58,16,7
STU-1593,Student 594,44,45,42,6,4
STU-1594,Student 595,61,26,31,28,1
STU-1595,Student 596,68,33,58,2,9
STU-1596,Student 597,94,98,81,2,14
STU-1597,Student 598,42,26,56,26,5
STU-1598,Student 599,51,28,79,13,11
STU-1599,Student 600,65,67,52,24,2
STU-1600,Student 601,55,91,73,15,8
STU-1601,Student 602,90,78,51,28,11
STU-1602,Student 603,76,58,72,2,13
STU-1603,Student 604,61,37,66,7,2
STU-1604,Student 605,96,78,90,3,3
STU-1605,Student 606,68,36,85,8,14
STU-1606,Student 607,53,33,32,23,10
STU-1607,Student 608,67,50,92,14,1
STU-1608,Student 609,44,43,48,24,11
STU-1609,Student 610,86,79,52,23,2
STU-1610,Student 611,88,64,58,27,14
STU-1611,Student 612,69,22,59,22,7
STU-1612,Student 613,85,56,68,29,10
STU-1613,Student 614,91,62,54,7,2
STU-1614,Student 615,44,59,37,21,6
STU-1615,Student 616,51,74,87,7,3
STU-1616,Student 617,55,58,45,1,4
STU-1617,Student 618,65,34,30,17,11
STU-1618,Student 619,65,23,34,9,13
STU-1619,Student 620,87,44,32,21,8
STU-1620,Student 621,60,32,94,13,14
STU-1621,Student 622,78,52,33,21,3
STU-1622,Student 623,75,35,93,19,10
STU-1623,Student 624,72,61,39,21,6
STU-1624,Student 625,69,85,50,19,1
STU-1625,Student 626,76,74,75,25,7
STU-1626,Student 627,62,61,56,25,8
STU-1627,Student 628,97,53,95,22,11
STU-1628,Student 629,49,49,70,17,14
STU-1629,Student 630,93,32,42,23,8
STU-1630,Student 631,44,32,38,23,3
STU-1631,Student 632,75,37,65,10,14
STU-1632,Student 633,73,51,87,10,10
STU-1633,Student 634,91,58,83,4,1
STU-1634,Student 635,70,65,41,8,9
STU-1635,Student 636,49,48,43,22,13
STU-1636,Student 637,97,81,63,20,6
STU-1637,Student 638,58,81,82,20,11
STU-1638,Student 639,97,76,49,18,9
STU-1639,Student 640,71,35,45,14,7
STU-1640,Student 641,40,75,99,18,1
STU-1641,Student 642,95,29,85,28,12
STU-1642,Student 643,44,49,87,14,12
STU-1643,Student 644,84,44,33,20,1
STU-1644,Student 645,43,24,33,21,6
STU-1645,Student 646,55,84,49,24,5
STU-1646,Student 647,63,68,39,15,9
STU-1647,Student 648,55,22,53,22,2
STU-1648,Student 649,94,64,55,4,8
STU-1649,Student 650,41,33,66,13,11
STU-1650,Student 651,88,49,83,27,5
STU-1651,Student 652,67,87,50,23,2
STU-1652,Student 653,71,37,67,8,13
STU-1653,Student 654,66,81,75,18,10
STU-1654,Student 655,59,56,33,12,11
STU-1655,Student 656,63,44,89,23,11
STU-1656,Student 657,51,67,86,14,12
STU-1657,Student 658,89,84,74,2,6
STU-1658,Student 659,74,72,49,18,10
STU-1659,Student 660,99,98,46,24,8
STU-1660,Student 661,72,92,33,2,4
STU-1661,Student 662,72,34,43,11,2
STU-1662,Student 663,90,68,32,9,12
STU-1663,Student 664,82,87,87,12,11
